,L
0,2.7589156398339436
1,1.6447003029894147
2,3.3572329502043976
3,1.881542066363259
4,1.4922565345889476
5,5.310136619759029
6,2.241192651825242
7,3.153692391111921
8,1.4576369015507273
9,1.0424418832430833
10,1.1523841899808671
11,1.2310468449903895
12,1.4018990591846283
13,1.8726303345805213
14,31.085729287881087
15,1.0704736562415145
16,5.268205532882775
17,1.700576537467433
18,4.590135470891075
19,195.62066810009247
20,21.718936042934452
21,1.6658153708449253
22,2.0992141509468913
23,4.951084480792484
24,1.1215220889109072
25,5.3866941721795705
26,4.949777275165485
27,1.1302438980276688
28,1.943125469480703
29,1.2259633910106775
30,2.200205988416737
31,1.1219593895255615
32,1.3599789286840887
33,5.550051130541552
34,1.4038678383954357
35,7.163117775733146
36,1.2239942867099165
37,3.063870202419098
38,5.715774533362921
39,1.1090501873926124
40,1.5017148364847308
41,67.37256383547471
42,3.3791169412681445
43,4.108833926518807
44,1.2145024459602187
45,0.9856490613792147
46,5.596083926987971
47,1.1580244591832523
48,1.104144092594274
49,1.8650062419492384
50,1.1514790888790476
51,1.4074661944857076
52,1.3525293323314382
53,21.230028162781245
54,5.685948286487081
55,3.6622879047303636
56,1.5177717687654215
57,5.18657108860029
58,1.2576021624250726
59,31.404004031252864
60,1.6355184920550652
61,2.0091541329333795
62,0.9956752491565444
63,1.301099880202132
64,2.384495973979581
65,2.110244132512158
66,1.6931967129778127
67,14.312594695769102
68,6.5291690075798545
69,1.1908085117333729
70,1.748426717840812
71,2.0497611961194053
72,7.416244162732872
73,2.062546684622424
74,1.9861215094629994
75,1.0523394121648013
76,1.1275181405147447
77,1.0932758588219285
78,4.8436391096588265
79,1.2644334766492178
80,1.623134968349287
81,1.4348420334146301
82,2.52332576882134
83,1.335722756107713
84,20.865732852338365
85,2.3049874451805636
86,1.7638554030052815
87,1.2607060370722072
88,2.9672586549247058
89,4.535492677104462
90,1.7741336835045842
91,3.718101046932427
92,2.285447799672271
93,21.846688583387373
94,12.347542949477171
95,1.1018712492425746
96,1.8960394071174866
97,1.0065078417670983
98,
99,16.676518453474916
100,5.646793914976513
101,1.0968556202318283
102,4.1566984395471005
103,1.1366313600521845
104,1.6366720452835881
105,1.311837637324656
106,1.6588879141530255
107,1.3243420249583275
108,1.201741250796272
109,1.3186740131856705
110,1.8699589036231872
111,5.968058128378687
112,1.1314032003478425
113,3.2531291790405557
114,1.4882932760530547
115,398.7866782120644
116,1.2904735603261153
117,1.665062255537246
118,9.718909197939501
119,1.1085292734157872
120,1.2606793011634714
121,1.2142760288892633
122,2.4914002296573363
123,1.2281544359259076
124,13.796047943468333
125,6.262338306902389
126,3.054020633198514
127,2.00133663085224
128,4.078398250910778
129,1.2446429429627255
130,6.493308150496635
131,15.447907028537012
132,3.458651618905514
133,1.038547271162405
134,4.00214962253997
135,2.4771228806396985
136,5.47073435568751
137,26.50706121555066
138,1.6844072731026414
139,1.066619924295329
140,1.1534430729054792
141,37.84867613089812
142,4.284524374580421
143,10.331221236009618
144,2.2436522777906744
145,1.4974017260944088
146,6.307460060890815
147,3.251805537668742
148,13.667218343079515
149,23.002694284552305
150,1.3973889483516535
151,28.937812357765704
152,1.1404887528927825
153,1.1418662512759772
154,4.178758246050317
155,1.0756265994526384
156,1.060774798856128
157,10.089518189950649
158,1.255997563768821
159,9.462441850383449
160,1.3847463157622495
161,1.1377201341639307
162,1.463657263964682
163,1.202114697228877
164,9.078145554886605
165,7.3599326599044295
166,10.878949511813557
167,2.0089114569730975
168,3.316467253597012
169,13.825909294519057
170,1.7038680749563526
171,1.0709711671485689
172,2.413964941909649
173,1.1345179581832985
174,2.6490913837855956
175,3.320148664057336
176,2.333025400575015
177,1.545951432779954
178,4.270900101882908
179,1.1441389468245757
180,2.4161844331970217
181,1181.2707929605317
182,4.287612463856475
183,1.8795233245889118
184,1.0702091570301124
185,1.369466837886161
186,4.994222681850098
187,2.82745878871675
188,1.2702550576916536
189,1.209440259159431
190,1.3248380342928767
191,3.8268206583706545
192,4.067632875706505
193,36.74005697788616
194,2.765389260137163
195,4.1267806276999295
196,2.729845323546572
197,4.214893046082598
198,2.0976134167002605
199,1.2488048625716675
